,지번주소,도로명주소,위도,경도,사업장명,kakao_star,kakao_star_nums,kakao_blog_review
10156,가락동,서울특별시 송파구 송파대로28길 20 지층 108109호 (가락동 세화오피스텔)',37.4941535,127.1202422,홍콩,0,0,0
8927,상도1동,서울특별시 동작구 양녕로 282-1 (상도1동지하 1층)',37.504396,126.9504606,신바람노래연습장,0,0,0
4943,목동,서울특별시 양천구 등촌로 178 (목동지하1층),37.5454887,126.8626965,핑스노래연습장,0,0,0
504,수유동,서울특별시 강북구 도봉로87길 3-10  (수유동),37.6379514,127.0247986,캐피탈,1,3,0
6822,서초동,서울특별시 서초구 반포대로28길 79  (서초동),37.4920201,127.0126004,칼라노래방,0,0,0
2430,무학동,서울특별시 중구 퇴계로76길 29 지하1층 (무학동)',37.5638634,127.0154867,준노래연습장,0,0,0
391,암사동,서울특별시 강동구 올림픽로93길 5 지층 (암사동)',37.5491172,127.1266552,암사노래연습장,0,0,0
3888,수유동,서울특별시 강북구 한천로140길 20 3층층 (수유동)',37.6407826,127.0275884,뉴캐슬 노래연습장,0,0,0
6216,사당동,서울특별시 동작구 동작대로29가길 23  (사당동지층)',37.4889498,126.9814376,코리아 노래연습장,0,0,0
5224,공항동,서울특별시 강서구 방화대로6길 39 (공항동),37.5547982,126.8188446,파티파티노래연습장,0,0,0
10815,양평동4가,서울특별시 영등포구 양평로17길 6 (양평동4가),37.5361437,126.8959789,여러분노래연습장,0,0,0
9108,망원동,서울특별시 마포구 월드컵로 113 지하1층 (망원동)',37.5584252,126.907621,수화 노래연습장,0,0,0
10538,신월동,서울특별시 양천구 화곡로4길 23-1 (신월동지층)',37.5374384,126.8283948,선구자노래연습장,0,0,0
2872,군자동,서울특별시 광진구 면목로 1  (군자동지하1층)',37.5545441,127.0748976,자운영,0,0,0
3589,길음동,서울특별시 성북구 숭인로 70-2 지1층 (길음동)',37.6122582,127.0295397,라이브 노래연습장,5,2,0
5692,가산동,서울특별시 금천구 가산로 148 (가산동),37.4785598,126.8908726,벤허,0,0,0
11032,동자동,서울특별시 용산구 한강대로 373 (동자동),37.5516859,126.9719973,노래마을,0,0,0
1513,화양동,서울특별시 광진구 아차산로33길 36 (화양동),37.5418374,127.0706674,베스트노래방,0,0,0
386,성내동,서울특별시 강동구 양재대로85길 15 (성내동),37.524332,127.1339149,MBC노래연습장,0,0,0
9278,창천동,서울특별시 서대문구 연세로 20  (창천동지층)',37.5574794,126.9370688,X,3,2,21
10570,목동,서울특별시 양천구 목동중앙북로 3 (목동지하1층)',37.5488207,126.8640467,파티파티노래연습장,0,0,0
2840,화양동,서울특별시 광진구 능동로 177 (화양동),37.5464964,127.0734854,OK 노래연습장,0,0,0
3241,면목동,서울특별시 중랑구 면목로21길 36 (면목동지하1층)',37.5726083,127.0818934,불러불러노래연습장,0,0,0
2844,중곡동,서울특별시 광진구 면목로 169 (중곡동),37.5683844,127.0825,2002노래연습장,0,0,0
5586,가리봉동,서울특별시 구로구 우마길 23 지층 (가리봉동)',37.4809167,126.8888566,키스노래연습장,0,0,0
2021,구로동,서울특별시 구로구 구로동로 128 지층 (구로동)',37.4900965,126.8843986,차차차 노래연습장,0,0,0
699,미아동,서울특별시 강북구 도봉로49길 지하 12 지1층 (미아동)',37.6133734,127.0299225,다오래노래연습장,0,0,0
11468,중화동,서울특별시 중랑구 중랑역로 125 (중화동),37.604627,127.0769726,동그라미노래연습장,0,0,0
9694,용답동,서울특별시 성동구 용답중앙15길 16  (용답동),37.5646986,127.0541646,마돈나 노래연습장,0,0,0
6122,당산동4가,서울특별시 영등포구 당산로38길 10 지하1층 (당산동4가)',37.5287841,126.8991398,럭키노래연습장,5,3,0
5940,신길동,서울특별시 영등포구 도림로 215 (신길동),37.4980294,126.9039684,랏세르노래연습장,0,0,0
4036,쌍문동,서울특별시 도봉구 도봉로133길 45 (쌍문동지1층)',37.6578139,127.0370984,천국 노래연습장,0,0,0
10944,대림동,서울특별시 영등포구 도림로41길 10 2층 (대림동)',37.4949211,126.8981259,황룡노래연습장,0,0,0
9659,행당동,서울특별시 성동구 마조로 15-3 (행당동),37.5590734,127.0405082,채널VJ노래연습장,5,1,0
8727,장안동,서울특별시 동대문구 사가정로 231 지하1층 (장안동)',37.5789631,127.0706963,열린,0,0,0
11174,증산동,서울특별시 은평구 증산서길 152 (증산동),37.5880234,126.9120529,성화봉노래연습장,0,0,0
344,길동,서울특별시 강동구 양재대로 1495 지층 (길동)',37.5393052,127.140294,투투노래연습장,0,0,0
1073,화곡동,서울특별시 강서구 강서로 239 2층 (화곡동),37.5471858,126.8360124,슈퍼파워코인노래연습장,0,0,0
612,미아동,서울특별시 강북구 도봉로10길 6 지하1층 (미아동)',37.6129878,127.0307849,즐거운 노래연습장,0,0,1
6341,봉천동,서울특별시 관악구 봉천로 593 지하1층 (봉천동 좌측)',37.4765926,126.963446,청개구리,0,0,0
362,천호동,서울특별시 강동구 구천면로41길 7 지하층 (천호동)',37.5462941,127.1334806,마이다스,0,0,0
1791,구로동,서울특별시 구로구 구로동로19길 2 (구로동),37.4889726,126.8842388,텔미 노래연습장,0,0,0
5567,구로동,서울특별시 구로구 새말로18길 20-15 (구로동),37.5053688,126.8921174,금 노래연습장,0,0,0
4226,상계동,서울특별시 노원구 상계로5길 31 지층 (상계동 보광빌딩)',37.6568441,127.063015,청개구리노래연습장,5,3,0
8504,방학동,서울특별시 도봉구 도봉로 728  (방학동2층)',37.6693012,127.0438748,큐 노래 연습장,0,0,0
10166,삼전동,서울특별시 송파구 백제고분로22길 4 (삼전동),37.5035769,127.0892032,썸 노래연습장,0,0,0
10323,송파동,서울특별시 송파구 백제고분로41길 33 지층 (송파동)',37.5085829,127.1063624,아우성 노래연습장,0,0,1
3771,수유동,서울특별시 강북구 삼양로 466 2층 (수유동)',37.644803,127.0160072,히든싱어 코인노래연습장,3,1,0
10109,방이동,서울특별시 송파구 백제고분로50길 40 (방이동),37.5128987,127.1188959,큐노래연습장,0,0,0
9453,양재동,서울특별시 서초구 남부순환로350길 29-19  (양재동),37.4839834,127.0371889,카리브,0,0,0
5955,신길동,서울특별시 영등포구 영등포로 384-1 지층 (신길동)',37.5134073,126.920822,노다지 노래연습장,0,0,0
3874,미아동,서울특별시 강북구 도봉로53길 19 (미아동(지하))',37.6266593,127.0246861,엑센트노래방,0,0,0
10459,신정동,서울특별시 양천구 신목로 33 (신정동),37.5184656,126.8735322,씨티노래연습장,0,0,0
11132,대조동,서울특별시 은평구 통일로 803-1 (대조동),37.6157238,126.9242831,파티노래연습장,0,0,0
9082,염리동,서울특별시 마포구 숭문길 63 지하1층 (염리동)',37.5492875,126.9456031,엠비시 노래연습장,0,0,0
9111,망원동,서울특별시 마포구 월드컵로13길 13 지하1층 (망원동),37.5555391,126.9094503,고고 노래연습장,0,0,0
3999,창동,서울특별시 도봉구 도봉로 590 (창동2층)',37.6572854,127.0402059,퀸 노래연습장,0,0,0
10889,대림동,서울특별시 영등포구 디지털로 356-1 (대림동 지하1층)',37.4893392,126.9000706,천지 노래연습장,0,0,0
976,등촌동,서울특별시 강서구 강서로54길 27 3층 (등촌동)',37.5591966,126.8400515,메카노래연습장,0,0,0
783,미아동,서울특별시 강북구 도봉로10가길 16 지층 (미아동)',37.6129284,127.0312279,OK노래연습장,0,0,0
2408,명륜4가,서울특별시 종로구 대명길 29-3 (명륜4가),37.583017,127.0001479,엣지 코인 노래연습장,3.3,3,1
1539,화양동,서울특별시 광진구 아차산로25길 7  (화양동),37.5418566,127.0665818,짝 노래연습장,0,0,0
7074,잠실동,서울특별시 송파구 올림픽로8길 20 잠실아이파크 A101호 (잠실동)',37.5100727,127.0800474,스타코인노래연습장,0,0,0
8791,전농동,서울특별시 동대문구 서울시립대로 36 (전농동),37.5745771,127.0469219,크리스탈,0,0,0
2894,화양동,서울특별시 광진구 아차산로33길 7 (화양동),37.5407132,127.0699431,놀자,0,0,1
6977,삼성동,서울특별시 강남구 선릉로96길 2 지하1층 (삼성동 금성빌딩)',37.5059893,127.0485908,대박노래연습장,0,0,0
5504,구로동,서울특별시 구로구 공원로6나길 43-15 (구로동),37.5051011,126.8916132,수 노래연습장,1,1,0
10299,가락동,서울특별시 송파구 오금로46길 39 지층 (가락동 오산빌딩),37.494356,127.1337771,쎈언니노래연습장,0,0,0
5367,공항동,서울특별시 강서구 송정로 35 (공항동),37.5580364,126.8108863,슈퍼스타노래연습장,0,0,0
3258,서교동,서울특별시 마포구 어울마당로 68 지1층 (서교동),37.5511077,126.9214935,악쓰는하마 코인노래연습장,3.2,6,29
1612,자양동,서울특별시 광진구 자양번영로 34 (자양동(지층))',37.532706,127.0758021,제이 원,5,1,0
9083,성산동,서울특별시 마포구 월드컵북로 126 2층 (성산동)',37.564298,126.9129837,스타 노래연습장,0,0,0
5506,구로동,서울특별시 구로구 구로동로 126-16 (구로동),37.4900227,126.8851165,야래향노래연습장,0,0,0
9062,용강동,서울특별시 마포구 토정로 294 지하1층 (용강동)',37.5408253,126.9418435,노래의 날개밑에 노래연습장,0,0,0
9878,정릉동,서울특별시 성북구 보국문로32길 3 지1층 (정릉동)',37.6172621,127.0024812,팡팡 노래연습장,0,0,0
