지번주소,도로명주소,사업장명,위도,경도,kakao_blog_review,kakao_star,kakao_star_nums,kakao_keyword
성내동,서울특별시 강동구 천호옛12길 52 (성내동),OK PC방,37.5346016,127.1274104,0,0,0,성내동 OK PC방
성내동,서울특별시 강동구 천호옛14길 28 (성내동),블루스카이,37.5359272,127.1269756,0,0,0,성내동 블루스카이
성내동,서울특별시 강동구 천호옛14길 47 (성내동),대박 PC,37.5359312,127.1280608,0,0,0,성내동 대박 PC
성내동,서울특별시 강동구 천호옛길 84 지층 (성내동),3POP,37.5361291,127.1254972,0,0,0,성내동 3POP
성내동,서울특별시 강동구 천호옛길 90 (성내동),스위티,37.5367602,127.1259422,0,2,4,성내동 스위티
성내동,서울특별시 강동구 천호옛길 94 (성내동),레인보우,37.536958,127.1260674,0,0,0,성내동 레인보우
성내동,서울특별시 강동구 풍성로37가길 17 102호 (성내동),신게임,37.5333112,127.1273123,0,0,0,성내동 신게임
성내동,서울특별시 강동구 풍성로37가길 36  (성내동지층),익사이팅 PC방,37.532863,127.1282377,0,0,0,성내동 익사이팅 PC방
성내동,서울특별시 강동구 풍성로37가길 61 (성내동),유니넷,37.5326152,127.1297512,0,0,0,성내동 유니넷
성내동,서울특별시 강동구 풍성로39길 38 지층 (성내동),소울,37.5330243,127.1275362,2,1,1,성내동 소울
성내동,서울특별시 강동구 풍성로58길 20  (성내동2층),두리,37.5281328,127.1353536,0,0,0,성내동 두리
수유동,서울특별시 강북구 노해로 37 (수유동),보고플레이,37.6389264,127.0225393,0,0,0,수유동 보고플레이
수유동,서울특별시 강북구 노해로 38 두온오피스텔 지하1층 (수유동),엠박스PC방,37.6389395,127.0231323,0,0,0,수유동 엠박스PC방
수유동,서울특별시 강북구 노해로 95 (수유동3층),리플레이PC,37.6440227,127.0227015,0,0,0,수유동 리플레이PC
수유동,서울특별시 강북구 노해로33길 23  (수유동2층),인터스페이스,37.6462253,127.0231386,0,0,0,수유동 인터스페이스
수유동,서울특별시 강북구 노해로8길 29 현대크리스탈 지하1층 B101 B102호 (수유동),옵티멈존PC카페,37.6385167,127.02422,1,3,4,수유동 옵티멈존PC카페
수유동,서울특별시 강북구 노해로8길 33  (수유동3층),스피드PC방,37.6385767,127.024557,0,1,1,수유동 스피드PC방
수유동,서울특별시 강북구 덕릉로 46 신우빌딩 지하1층 (수유동),불독PC방,37.6340819,127.0186833,0,5,1,수유동 불독PC방
미아동,서울특별시 강북구 도봉로 136 풍양회관 지하1층 (미아동),비원 PC방,37.6209634,127.0285525,0,0,0,미아동 비원 PC방
미아동,서울특별시 강북구 도봉로 142  (미아동지층),미아PC게임방,37.6215387,127.0283919,0,5,3,미아동 미아PC게임방
미아동,서울특별시 강북구 도봉로 196  (미아동3층),인터피아,37.6261604,127.0265993,0,0,0,미아동 인터피아
미아동,서울특별시 강북구 도봉로 247-1 2층 (미아동),LO PC방,37.6305859,127.0241406,0,5,3,미아동 LO PC방
미아동,서울특별시 강북구 도봉로 249 2층 (미아동),해PC 수유시장점,37.6307254,127.0240852,0,3.5,2,미아동 해PC 수유시장점
수유동,서울특별시 강북구 도봉로 259 (수유동),방아간PC방,37.6314396,127.0237688,0,5,1,수유동 방아간PC방
미아동,서울특별시 강북구 도봉로 290 2층 203호 (미아동 수유역푸르지오시티),골드PC,37.6342132,127.0237476,0,0,0,미아동 골드PC
수유동,서울특별시 강북구 도봉로 313 지층 (수유동),아론PC방,37.6364444,127.0234746,0,1,4,수유동 아론PC방
수유동,서울특별시 강북구 도봉로 313 효성 인텔리안 오피스텔 지하1층 (수유동),로얄PC,37.6364444,127.0234746,0,0,0,수유동 로얄PC
미아동,서울특별시 강북구 도봉로 34 7층 (미아동 트레지오빌딩),세븐pc방,37.6120803,127.0307347,0,1,1,미아동 세븐pc방
수유동,서울특별시 강북구 도봉로 385  (수유동2층),아마존,37.6413941,127.0287728,0,0,0,수유동 아마존
번동,서울특별시 강북구 도봉로 386 번동빌딩 지하1층 (번동),플레잇피씨카페,37.6409836,127.0292459,0,0,0,번동 플레잇피씨카페
번동,서울특별시 강북구 도봉로 394 지하1층호 (번동),런PC방,37.6416255,127.0299759,0,0,0,번동 런PC방
미아동,서울특별시 강북구 도봉로28길 5  (미아동1층),늑대와여우 PC방,37.6205835,127.0290908,0,0,0,미아동 늑대와여우 PC방
미아동,서울특별시 강북구 도봉로29길 10  (미아동지하),일루젼,37.6207311,127.0276826,19,3,1,미아동 일루젼
미아동,서울특별시 강북구 도봉로6길 12  (미아동3층),멀티PC방,37.6124658,127.0307736,0,0,0,미아동 멀티PC방
미아동,서울특별시 강북구 도봉로76길 11  (미아동2층),허브PC방,37.6330349,127.024412,0,0,0,미아동 허브PC방
미아동,서울특별시 강북구 도봉로76길 66  (미아동),인투스 PC방,37.63402,127.0269186,0,0,0,미아동 인투스 PC방
번동,서울특별시 강북구 도봉로82길 33 청도빌딩 3층 (번동),수유PC,37.6352187,127.0253728,0,5,3,번동 수유PC
수유동,서울특별시 강북구 도봉로87길 14  (수유동5층),미션,37.6385193,127.0250069,0,0,0,수유동 미션
번동,서울특별시 강북구 도봉로96길 12 2층 (번동),비원PC방,37.6404543,127.0293609,0,5,2,번동 비원PC방
번동,서울특별시 강북구 도봉로96길 24  (번동2층),G-zone PC방,37.6401202,127.0298404,0,0,0,번동 G-zone PC방
미아동,서울특별시 강북구 삼양로 161 행전빌딩 지하1층 (미아동),볼트PC방,37.6183958,127.0211389,1,0,0,미아동 볼트PC방
미아동,서울특별시 강북구 삼양로 169 1층 (미아동),스타PC방,37.6189362,127.0208287,6,0,0,미아동 스타PC방
미아동,서울특별시 강북구 삼양로 201 윤이빌딩 지층 (미아동),캐슬 PC방,37.6217528,127.0201612,0,0,0,미아동 캐슬 PC방
미아동,서울특별시 강북구 삼양로 246 2층 203 204호 (미아동),스톤PC,37.6254313,127.0186797,0,0,0,미아동 스톤PC
수유동,서울특별시 강북구 삼양로 292  (수유동2층),인터스페이스,37.6294817,127.0181548,0,0,0,수유동 인터스페이스
수유동,서울특별시 강북구 삼양로 447 2층 (수유동),탑스타PC방,37.6433446,127.0159507,0,0,0,수유동 탑스타PC방
